# longitude,latitude
-70.659000,41.517000
-70.658897,41.516824
-70.658794,41.516647
-70.658691,41.516471
-70.658589,41.516295
-70.658487,41.516119
-70.658326,41.515930
-70.658166,41.515741
-70.658005,41.515553
-70.657845,41.515364
-70.657599,41.515162
-70.657353,41.514961
-70.657107,41.514759
-70.656827,41.514563
-70.656548,41.514367
-70.656268,41.514171
-70.655989,41.513975
-70.655714,41.513780
-70.655439,41.513585
-70.655160,41.513426
-70.654881,41.513266
-70.654639,41.513082
-70.654397,41.512898
-70.654134,41.512768
-70.653871,41.512637
-70.653608,41.512506
-70.653345,41.512375
-70.653086,41.512244
-70.652827,41.512113
-70.652567,41.511982
-70.652383,41.511904
-70.652199,41.511827
-70.652015,41.511749
-70.651830,41.511672
-70.651645,41.511594
-70.651460,41.511517
-70.651274,41.511439
-70.651091,41.511361
-70.650907,41.511283
-70.650723,41.511204
-70.650538,41.511126
-70.650354,41.511047
-70.650171,41.510967
-70.649988,41.510886
-70.649804,41.510806
-70.649621,41.510726
-70.649437,41.510646
-70.649254,41.510565
-70.649072,41.510484
-70.648889,41.510403
-70.648688,41.510325
-70.648487,41.510247
-70.648285,41.510169
-70.648084,41.510090
-70.647884,41.510012
-70.647683,41.509934
-70.647483,41.509856
-70.647284,41.509778
-70.647086,41.509699
-70.646888,41.509620
-70.646690,41.509542
-70.646493,41.509463
-70.646296,41.509385
-70.646099,41.509306
-70.645886,41.509232
-70.645673,41.509158
-70.645460,41.509084
-70.645249,41.509010
-70.645039,41.508936
-70.644829,41.508861
-70.644619,41.508787
-70.644409,41.508713
-70.644200,41.508639
-70.643991,41.508564
-70.643782,41.508490
-70.643574,41.508416
-70.643366,41.508342
-70.643159,41.508267
-70.642953,41.508192
-70.642747,41.508117
-70.642542,41.508043
-70.642336,41.507968
-70.642121,41.507885
-70.641905,41.507802
-70.641690,41.507720
-70.641475,41.507637
-70.641262,41.507554
-70.641049,41.507471
-70.640836,41.507388
-70.640624,41.507304
-70.640412,41.507221
-70.640200,41.507138
-70.639988,41.507055
-70.639777,41.506972
-70.639566,41.506889
-70.639355,41.506806
-70.639146,41.506723
-70.638938,41.506639
-70.638729,41.506555
-70.638521,41.506472
-70.638313,41.506388
-70.638098,41.506308
-70.637883,41.506228
-70.637669,41.506147
-70.637454,41.506067
-70.637240,41.505987
-70.637028,41.505906
-70.636816,41.505825
-70.636596,41.505734
-70.636377,41.505644
-70.636158,41.505553
-70.635939,41.505462
-70.635720,41.505372
-70.635501,41.505281
-70.635282,41.505191
-70.635064,41.505100
-70.634848,41.505009
-70.634632,41.504918
-70.634416,41.504827
-70.634200,41.504736
-70.633985,41.504645
-70.633767,41.504553
-70.633548,41.504461
-70.633330,41.504369
-70.633112,41.504277
-70.632894,41.504185
-70.632679,41.504092
-70.632463,41.504000
-70.632247,41.503907
-70.632032,41.503815
-70.631816,41.503722
-70.631600,41.503629
-70.631384,41.503537
-70.631168,41.503444
-70.630942,41.503347
-70.630716,41.503250
-70.630492,41.503153
-70.630269,41.503055
-70.630045,41.502957
-70.629821,41.502860
-70.629597,41.502762
-70.629373,41.502665
-70.629149,41.502567
-70.628925,41.502469
-70.628701,41.502372
-70.628476,41.502274
-70.628255,41.502176
-70.628033,41.502078
-70.627812,41.501980
-70.627590,41.501882
-70.627369,41.501784
-70.627147,41.501685
-70.626926,41.501587
-70.626704,41.501489
-70.626478,41.501386
-70.626252,41.501283
-70.626029,41.501179
-70.625806,41.501075
-70.625583,41.500972
-70.625360,41.500868
-70.625137,41.500765
-70.624915,41.500661
-70.624692,41.500557
-70.624470,41.500454
-70.624248,41.500350
-70.624026,41.500247
-70.623804,41.500143
-70.623586,41.500039
-70.623368,41.499936
-70.623151,41.499832
-70.622934,41.499729
-70.622717,41.499625
-70.622499,41.499521
-70.622283,41.499418
-70.622066,41.499314
-70.621849,41.499211
-70.621632,41.499107
-70.621418,41.499003
-70.621204,41.498899
-70.620990,41.498795
-70.620776,41.498691
-70.620562,41.498587
-70.620348,41.498483
-70.620133,41.498378
-70.619918,41.498274
-70.619703,41.498170
-70.619488,41.498066
-70.619275,41.497961
-70.619063,41.497856
-70.618850,41.497751
-70.618637,41.497647
-70.618423,41.497542
-70.618210,41.497431
-70.617997,41.497319
-70.617784,41.497208
-70.617570,41.497097
-70.617356,41.496986
-70.617146,41.496874
-70.616936,41.496762
-70.616725,41.496651
-70.616515,41.496539
-70.616304,41.496427
-70.616093,41.496316
-70.615883,41.496204
-70.615672,41.496092
-70.615462,41.495980
-70.615251,41.495869
-70.615045,41.495757
-70.614839,41.495644
-70.614633,41.495532
-70.614427,41.495420
-70.614222,41.495308
-70.614016,41.495196
-70.613811,41.495084
-70.613606,41.494972
-70.613402,41.494857
-70.613199,41.494742
-70.613000,41.494626
-70.612801,41.494511
-70.612603,41.494395
-70.612404,41.494280
-70.612206,41.494165
-70.612007,41.494049
-70.611809,41.493934
-70.611611,41.493818
-70.611412,41.493703
-70.611214,41.493588
-70.611020,41.493472
-70.610826,41.493356
-70.610632,41.493240
-70.610438,41.493124
-70.610244,41.493009
-70.610049,41.492893
-70.609855,41.492777
-70.609660,41.492661
-70.609466,41.492545
-70.609275,41.492429
-70.609085,41.492313
-70.608895,41.492196
-70.608702,41.492074
-70.608509,41.491952
-70.608316,41.491829
-70.608123,41.491707
-70.607929,41.491585
-70.607736,41.491462
-70.607543,41.491340
-70.607355,41.491217
-70.607167,41.491095
-70.606979,41.490972
-70.606790,41.490849
-70.606602,41.490727
-70.606414,41.490604
-70.606226,41.490481
-70.606038,41.490359
-70.605850,41.490236
-70.605662,41.490113
-70.605480,41.489990
-70.605298,41.489868
-70.605116,41.489745
-70.604934,41.489622
-70.604776,41.489506
-70.604618,41.489390
-70.604461,41.489274
-70.604303,41.489159
-70.604146,41.489043
-70.603989,41.488927
-70.603838,41.488811
-70.603687,41.488695
-70.603536,41.488579
-70.603386,41.488463
-70.603235,41.488348
-70.603085,41.488232
-70.602935,41.488116
-70.602786,41.488000
-70.602637,41.487884
-70.602488,41.487768
-70.602345,41.487652
-70.602202,41.487536
-70.602060,41.487420
-70.601917,41.487304
-70.601775,41.487188
-70.601634,41.487072
-70.601467,41.486969
-70.601300,41.486865
-70.601133,41.486762
-70.600967,41.486658
-70.600808,41.486554
-70.600650,41.486450
-70.600493,41.486346
-70.600335,41.486242
-70.600178,41.486138
-70.600022,41.486034
-70.599866,41.485930
-70.599710,41.485826
-70.599555,41.485722
-70.599400,41.485618
-70.599253,41.485513
-70.599108,41.485409
-70.598962,41.485305
-70.598817,41.485200
-70.598673,41.485096
-70.598530,41.484992
-70.598540,41.484837
-70.598551,41.484683
-70.598563,41.484528
-70.598575,41.484374
-70.598593,41.484222
-70.598611,41.484069
-70.598630,41.483917
-70.598649,41.483764
-70.598669,41.483612
-70.598689,41.483460
-70.598710,41.483308
-70.598731,41.483156
-70.598753,41.483004
-70.598775,41.482852
-70.598797,41.482700
-70.598824,41.482550
-70.598852,41.482400
-70.598879,41.482249
-70.598907,41.482099
-70.598934,41.481949
-70.598962,41.481799
-70.598989,41.481649
-70.599016,41.481498
